iso,country_name,region
gin,Guinea,Africa
gmb,Gambia,Africa
gnb,Guinea-Bissau,Africa
gnq,Equatorial Guinea,Africa
lbr,Liberia,Africa
mrt,Mauritania,Africa
sen,Senegal,Africa
sle,Sierra Leone,Africa
cpv,Cape Verde,Africa
tcd,Chad,Africa
arm,Armenia,FSU
aze,Azerbaijan,FSU
blr,Belarus,FSU
blx,Belgium-Luxembourg ,Western Europe
csk,Czechoslovakia,Eastern Europe
est,Estonia,FSU
fro,Faeroe Islands,Islands
geo,Georgia,FSU
grl,Greenland,Western Europe
gum,Guam,Islands
irl,Ireland,Western Europe
kaz,Kazakhstan,FSU
kgz,Kyrgyzstan,FSU
lie,Liechtenstein,Western Europe
ltu,Lithuania,FSU
lva,Latvia,FSU
pse,Palestine,Middle East
rus,Russia,FSU
tjk,Tajikistan,FSU
tkm,Turkmenistan,FSU
ukr,Ukraine,FSU
uzb,Uzbekistan,FSU
yug,Yugoslavia,Other Asia
